,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mount gambier,90,AU,1614827296,68,-37.8333,140.7667,64.4,11.5
1,morehead,1,US,1614827355,75,37.2711,-87.1764,43.0,5.88
2,umea,3,SE,1614827356,86,63.8284,20.2597,21.2,6.91
3,nishihara,75,JP,1614827357,49,26.1842,127.7558,73.4,14.97
4,qaanaaq,53,GL,1614827359,75,77.484,-69.3632,-22.45,10.63
5,road town,0,VG,1614827360,89,18.4167,-64.6167,77.0,1.01
6,talnakh,28,RU,1614826818,73,69.4865,88.3972,-21.3,9.98
7,bluff,29,NZ,1614827362,53,-46.6,168.3333,63.0,5.01
8,hermanus,77,ZA,1614827364,93,-34.4187,19.2345,66.0,8.88
9,hithadhoo,8,MV,1614827347,60,-0.6,73.0833,82.89,7.99
10,ushuaia,0,AR,1614827108,66,-54.8,-68.3,50.0,5.75
11,hilo,1,US,1614827301,41,19.7297,-155.09,77.0,8.05
12,fortuna,46,US,1614827368,84,40.5982,-124.1573,45.0,1.03
13,busselton,42,AU,1614827369,72,-33.65,115.3333,75.96,11.88
14,airai,26,TL,1614827371,85,-8.9266,125.4092,72.03,1.92
15,clyde river,1,CA,1614827372,69,70.4692,-68.5914,-22.0,3.44
16,cabo san lucas,40,MX,1614827281,49,22.8909,-109.9124,70.0,3.44
17,pevek,100,RU,1614827374,87,69.7008,170.3133,5.27,10.71
18,albany,90,US,1614827293,69,42.6001,-73.9662,37.4,8.05
19,borba,100,BR,1614827377,98,-4.3878,-59.5939,72.63,0.78
20,codrington,100,AU,1614827378,71,-38.2667,141.9667,62.67,14.03
21,singaraja,100,ID,1614827379,59,-8.112,115.0882,86.36,5.12
22,saldanha,4,ZA,1614827380,88,-33.0117,17.9442,64.4,8.05
23,punta arenas,0,CL,1614827382,76,-53.15,-70.9167,46.4,13.8
24,yeppoon,75,AU,1614827383,65,-23.1333,150.7333,80.6,10.36
25,tuktoyaktuk,75,CA,1614827384,76,69.4541,-133.0374,-23.8,3.44
26,cap malheureux,36,MU,1614827385,83,-19.9842,57.6142,77.0,1.99
27,severo-kurilsk,96,RU,1614827386,84,50.6789,156.125,24.24,31.56
28,ribeira grande,100,PT,1614827388,92,38.5167,-28.7,61.83,16.11
29,touros,40,BR,1614827389,94,-5.1989,-35.4608,75.2,4.61
30,kapaa,75,US,1614827338,73,22.0752,-159.319,71.6,16.11
31,tiksi,100,RU,1614827391,89,71.6872,128.8694,-12.69,10.56
32,chadan,94,RU,1614827392,94,51.2833,91.5833,16.02,2.91
33,tias,20,ES,1614827394,82,28.9611,-13.645,59.0,5.75
34,dumai,1,ID,1614827396,61,1.6833,101.45,86.72,5.32
35,joshimath,3,IN,1614827397,38,30.5667,79.5667,52.21,1.9
36,carnarvon,75,AU,1614827398,74,-24.8667,113.6333,80.6,11.5
37,tabora,100,TZ,1614827399,96,-5.0167,32.8,65.19,4.07
38,jamestown,90,US,1614827400,96,42.097,-79.2353,35.01,8.7
39,ilulissat,97,GL,1614827403,80,69.2167,-51.1,26.6,9.22
40,morondava,100,MG,1614827408,84,-20.2833,44.2833,77.61,8.1
41,chuy,92,UY,1614827392,89,-33.6971,-53.4616,72.34,10.29
42,chokurdakh,100,RU,1614827410,87,70.6333,147.9167,-19.89,14.27
43,namatanai,67,PG,1614826772,69,-3.6667,152.4333,83.39,7.29
44,avera,1,US,1614827413,66,33.194,-82.5271,44.6,2.71
45,castro,100,BR,1614827414,94,-24.7911,-50.0119,63.16,3.71
46,plettenberg bay,0,ZA,1614826824,89,-34.0527,23.3716,62.94,3.33
47,cape town,75,ZA,1614827308,94,-33.9258,18.4232,66.99,12.66
48,hobart,20,AU,1614827142,24,-42.8794,147.3294,71.6,25.32
49,san quintin,0,MX,1614827088,76,30.4833,-115.95,57.27,6.4
50,saskylakh,46,RU,1614827421,80,71.9167,114.0833,-36.42,1.72
51,butaritari,33,KI,1614827375,82,3.0707,172.7902,81.28,17.78
52,port hardy,90,CA,1614827424,87,50.6996,-127.4199,44.6,8.05
53,vitim,82,RU,1614826836,81,59.4511,112.5578,-19.26,3.85
54,lensk,52,RU,1614827427,80,60.7253,114.9278,-22.5,7.92
55,araouane,74,ML,1614827430,20,18.9048,-3.5265,72.34,11.86
56,avarua,100,CK,1614827431,74,-21.2078,-159.775,84.2,3.44
57,jacareacanga,100,BR,1614826839,98,-6.2222,-57.7528,71.73,2.57
58,nikolskoye,0,RU,1614827433,86,59.7035,30.7861,28.4,13.42
59,mar del plata,20,AR,1614827434,94,-38.0023,-57.5575,70.0,8.05
60,upernavik,100,GL,1614827355,91,72.7868,-56.1549,-1.82,16.35
61,georgetown,20,MY,1614827167,74,5.4112,100.3354,86.0,3.44
62,inhambane,14,MZ,1614827439,93,-23.865,35.3833,73.44,7.63
63,zhangye,28,CN,1614827440,47,38.9342,100.4517,42.87,9.26
64,sao joao da barra,100,BR,1614827441,90,-21.6403,-41.0511,76.19,13.4
65,rikitea,74,PF,1614827443,78,-23.1203,-134.9692,80.64,7.05
66,thompson,20,CA,1614827444,79,55.7435,-97.8558,14.0,4.61
67,kyren,69,RU,1614827445,86,51.6828,102.1408,10.06,1.95
68,half moon bay,90,US,1614827446,81,37.4636,-122.4286,52.0,9.22
69,pomabamba,88,PE,1614827447,91,-8.8333,-77.4667,48.99,1.59
70,asau,2,RO,1614827449,100,46.4333,26.4,30.2,1.14
71,luwingu,100,ZM,1614827450,98,-10.2621,29.9271,62.65,5.26
72,vaini,75,TO,1614827358,74,-21.2,-175.2,84.2,12.66
73,atuona,56,PF,1614827452,72,-9.8,-139.0333,80.06,8.5
74,mnogovershinnyy,100,RU,1614827453,93,53.9353,139.9242,4.8,2.46
75,angoche,98,MZ,1614827454,94,-16.2325,39.9086,75.78,8.37
76,kungurtug,100,RU,1614827455,88,50.5994,97.5228,11.71,1.01
77,narsaq,75,GL,1614827457,31,60.9167,-46.05,48.2,44.87
78,cidreira,100,BR,1614827458,88,-30.1811,-50.2056,74.71,2.53
79,kalmunai,40,LK,1614827459,65,7.4167,81.8167,80.08,3.18
80,mataura,65,NZ,1614827361,53,-46.1927,168.8643,63.0,5.01
81,karratha,33,AU,1614827462,55,-20.7377,116.8463,84.49,5.68
82,barrow,1,US,1614827465,76,71.2906,-156.7887,-18.4,6.91
83,boa vista,0,BR,1614827466,69,2.8197,-60.6733,78.8,9.22
84,kaoma,95,ZM,1614827467,98,-14.7833,24.8,62.96,3.91
85,port alfred,90,ZA,1614827468,93,-33.5906,26.891,69.01,1.01
86,east london,75,ZA,1614827469,88,-33.0153,27.9116,69.8,6.91
87,aklavik,100,CA,1614827434,76,68.2191,-135.0107,-20.2,3.44
88,tautira,75,PF,1614827472,78,-17.7333,-149.15,82.4,1.14
89,burgeo,99,CA,1614827473,93,47.6167,-57.6152,21.4,23.29
90,lagoa,100,PT,1614827474,94,39.05,-27.9833,60.46,22.62
91,nisia floresta,40,BR,1614827475,94,-6.0911,-35.2086,80.6,4.61
92,podor,55,MR,1614827477,19,16.6527,-14.9587,74.95,9.44
93,kiunga,100,PG,1614827479,53,-6.1219,141.2906,88.72,4.88
94,rolla,1,US,1614827480,40,37.9514,-91.7713,50.0,5.75
95,zig,1,US,1614827482,75,40.127,-92.7663,44.01,5.75
96,vershino-shakhtaminskiy,5,RU,1614827483,89,51.3012,117.8868,-0.11,12.59
97,ancud,0,CL,1614827484,87,-41.8697,-73.8203,55.99,4.61
98,laguna,1,US,1614827486,66,38.421,-121.4238,57.0,11.5
99,constitucion,0,CL,1614827371,63,-35.3333,-72.4167,62.98,8.59
100,palafrugell,90,ES,1614827490,100,41.9174,3.1631,48.99,5.75
101,businga,94,CD,1614827491,42,3.3333,20.8833,70.18,1.3
102,bambous virieux,75,MU,1614827492,94,-20.3428,57.7575,77.0,2.3
103,kimbe,100,PG,1614827494,82,-5.5502,150.1429,81.86,13.94
104,rovaniemi,0,FI,1614827495,86,66.5,25.7167,15.8,6.91
105,bredasdorp,48,ZA,1614827453,94,-34.5322,20.0403,66.2,3.44
106,suleja,32,NG,1614827497,16,9.1758,7.1808,80.91,11.03
107,kefar yona,20,IL,1614827498,87,32.3167,34.9351,50.0,6.91
108,kortkeros,75,RU,1614827500,93,61.8106,51.5806,17.6,6.71
109,port-cartier,75,CA,1614827433,56,50.0334,-66.8654,10.99,11.5
110,korla,100,CN,1614827117,62,41.7597,86.1469,41.47,8.32
111,huron,47,US,1614827503,76,41.1501,-82.5499,39.99,8.14
112,beringovskiy,100,RU,1614827505,92,63.05,179.3167,21.85,44.36
113,yerbogachen,1,RU,1614827507,84,61.2767,108.0108,-23.87,5.61
114,srandakan,100,ID,1614827508,69,-7.9386,110.2506,84.54,1.97
115,rio negro,100,BR,1614827509,96,-26.1058,-49.7975,62.01,14.0
116,chaman,0,PK,1614827295,40,30.9236,66.4512,54.88,2.44
117,kununurra,1,AU,1614827278,31,-15.7667,128.7333,95.0,3.44
118,hami,95,CN,1614827008,37,42.8,93.45,42.37,11.5
119,key west,90,US,1614827513,88,24.5557,-81.7826,73.4,13.8
120,tiznit,3,MA,1614827051,72,29.5833,-9.5,55.78,1.25
121,copiapo,0,CL,1614827328,88,-27.3667,-70.3333,60.8,8.05
122,magan,0,ES,1614827517,93,39.9683,-3.931,48.0,1.14
123,cherskiy,100,RU,1614827376,97,68.75,161.3,-0.29,7.72
124,pemangkat,27,ID,1614827519,67,1.1667,108.9667,85.39,4.68
125,guerrero negro,0,MX,1614827520,70,27.9769,-114.0611,60.53,12.71
126,geraldton,90,AU,1614827521,69,-28.7667,114.6,78.8,16.11
127,new norfolk,85,AU,1614827522,39,-42.7826,147.0587,69.01,8.01
128,krasnoselkup,100,RU,1614827452,93,65.7,82.4667,3.56,20.78
129,khatanga,0,RU,1614827525,79,71.9667,102.5,-33.84,7.29
130,kalabo,70,ZM,1614827526,95,-14.97,22.6814,63.88,5.26
131,merritt,40,CA,1614827527,45,50.1123,-120.7942,44.6,4.61
132,pangnirtung,100,CA,1614826889,86,66.1451,-65.7125,9.61,1.23
133,sydney,0,AU,1614827522,34,-33.8679,151.2073,80.6,9.22
134,margate,100,GB,1614827449,91,51.3813,1.3862,45.0,1.99
135,kattivakkam,20,IN,1614827532,83,13.2167,80.3167,75.2,4.61
136,chipinge,78,ZW,1614827533,100,-20.1883,32.6236,59.86,0.16
137,yellowknife,20,CA,1614827534,70,62.456,-114.3525,-9.0,11.5
138,kaitangata,43,NZ,1614827454,70,-46.2817,169.8464,59.0,5.01
139,faanui,100,PF,1614827382,73,-16.4833,-151.75,82.85,7.81
140,klaksvik,83,FO,1614827538,80,62.2266,-6.589,28.4,6.91
141,taoudenni,100,ML,1614826874,21,22.6783,-3.9836,68.79,9.24
142,raga,0,SS,1614827540,23,8.4596,25.678,67.21,5.32
143,lavrentiya,99,RU,1614827541,87,65.5833,-171.0,-11.87,3.0
144,victoria,99,HK,1614827511,86,22.2855,114.1577,66.99,8.08
145,ostrovnoy,100,RU,1614827367,93,68.0531,39.5131,15.42,14.34
146,bethel,1,US,1614827546,69,41.3712,-73.414,37.0,5.75
147,longyearbyen,40,SJ,1614827547,66,78.2186,15.6401,6.8,9.22
148,yumen,67,CN,1614827522,54,40.2833,97.2,40.24,13.47
149,little current,98,CA,1614827550,63,45.9793,-81.9248,28.99,10.36
150,bilibino,100,RU,1614827552,88,68.0546,166.4372,-1.64,26.8
151,redmond,35,US,1614827511,81,47.674,-122.1215,48.99,1.74
152,ponta do sol,60,PT,1614827554,72,32.6667,-17.1,59.0,1.99
153,belyy yar,11,RU,1614827555,85,53.6039,91.3903,14.0,4.47
154,ubatuba,0,BR,1614827303,88,-23.4339,-45.0711,71.6,3.09
155,hearst,33,CA,1614827557,78,49.6835,-83.6665,-0.4,4.61
156,collie,40,AU,1614827559,60,-33.3667,116.15,79.32,7.34
157,nampula,90,MZ,1614827560,94,-15.1165,39.2666,73.4,6.91
158,kieta,85,PG,1614827125,68,-6.2167,155.6333,84.09,12.62
159,bonavista,4,CA,1614827416,85,48.6499,-53.1147,21.99,9.22
160,sola,100,VU,1614827564,90,-13.8833,167.55,78.51,21.88
161,sarakhs,0,IR,1614827565,65,36.5449,61.1577,42.8,8.88
162,the pas,1,CA,1614827566,73,53.8251,-101.2541,21.2,8.05
163,provideniya,0,RU,1614827375,71,64.3833,-173.3,-2.2,11.18
164,port elizabeth,75,ZA,1614827569,94,-33.918,25.5701,66.2,8.05
165,arraial do cabo,5,BR,1614827342,83,-22.9661,-42.0278,77.0,12.66
166,kitimat,90,CA,1614827571,100,54.0524,-128.6534,32.0,2.3
167,bengkulu,92,ID,1614826950,62,-3.8004,102.2655,85.21,3.8
168,mahanoro,27,MG,1614827573,86,-19.9,48.8,75.25,3.78
169,puerto ayora,64,EC,1614827376,95,-0.7393,-90.3518,78.01,3.27
170,flinders,26,AU,1614827577,59,-34.5833,150.8552,81.0,4.0
171,hambantota,1,LK,1614827359,94,6.1241,81.1185,73.4,3.44
172,pacific grove,0,US,1614827579,88,36.6177,-121.9166,52.0,1.99
173,borogontsy,100,RU,1614827580,84,62.6683,131.1683,-21.42,6.26
174,paamiut,100,GL,1614827055,63,61.994,-49.6678,41.67,10.25
175,chake chake,80,TZ,1614827367,79,-5.2459,39.7666,78.57,10.16
176,wad rawah,86,SD,1614827584,24,15.1603,33.1397,65.64,14.03
177,kumano,75,JP,1614827585,50,34.3442,132.5894,52.0,3.44
178,san andres,20,CO,1614827586,74,12.5847,-81.7006,80.6,13.8
179,cayenne,75,GF,1614827589,89,4.9333,-52.3333,79.0,2.3
180,moses lake,1,US,1614827591,61,47.1301,-119.2781,48.2,8.05
181,nipawin,1,CA,1614827592,100,53.3668,-104.0009,15.8,6.91
182,batemans bay,3,AU,1614827593,59,-35.7167,150.1833,75.0,1.99
183,chateaubelair,20,VC,1614827594,73,13.2833,-61.25,78.8,14.97
184,misratah,21,LY,1614827595,75,32.3754,15.0925,57.02,17.4
185,alta floresta,100,BR,1614827596,96,-9.8756,-56.0861,69.93,1.48
186,kodiak,1,US,1614827598,55,57.79,-152.4072,35.6,13.8
187,nha trang,20,VN,1614827599,65,12.25,109.1833,84.2,9.22
188,bathsheba,40,BB,1614827409,69,13.2167,-59.5167,78.8,20.71
189,traverse city,90,US,1614827582,69,44.7631,-85.6206,32.0,9.22
190,plouzane,90,FR,1614827604,100,48.3833,-4.6167,48.2,3.44
191,weihai,86,CN,1614827605,69,37.5017,122.1136,47.01,11.54
192,nouadhibou,0,MR,1614827607,82,20.931,-17.0347,62.6,17.27
193,xining,100,CN,1614827610,56,36.6167,101.7667,37.18,1.57
194,batamshinskiy,75,KZ,1614827612,93,50.5594,58.2747,26.6,22.37
195,bandarbeyla,30,SO,1614827613,78,9.4942,50.8122,75.54,12.75
196,vestmannaeyjar,93,IS,1614827369,78,63.4427,-20.2734,39.25,15.17
197,nizhniy tsasuchey,24,RU,1614827615,81,50.5167,115.1333,4.98,20.38
198,baykit,100,RU,1614827617,93,61.67,96.37,-18.54,3.91
199,husavik,0,IS,1614827618,80,66.0449,-17.3389,32.0,3.44
200,labuan,20,MY,1614827481,74,5.2767,115.2417,86.0,4.61
201,houma,1,US,1614827620,87,29.5958,-90.7195,53.01,3.44
202,richards bay,0,ZA,1614827618,90,-28.783,32.0377,67.51,3.36
203,wyndham,1,US,1614827622,70,37.6985,-77.6125,43.0,3.91
204,poronaysk,100,RU,1614827487,96,49.2167,143.1167,33.06,16.42
205,saint-augustin,20,CA,1614827625,95,51.226,-58.6502,16.59,4.43
206,srednekolymsk,100,RU,1614827626,86,67.45,153.6833,-23.17,17.83
207,black river,75,JM,1614827627,83,18.0264,-77.8487,77.0,6.91
208,wahiawa,90,US,1614827628,64,21.5028,-158.0236,77.0,6.91
209,qinzhou,100,CN,1614827630,90,21.95,108.6167,62.02,3.89
210,sovetskiy,55,RU,1614827631,95,61.3614,63.5842,7.84,5.03
211,mahebourg,75,MU,1614827363,88,-20.4081,57.7,75.2,8.05
212,vanimo,76,PG,1614827633,79,-2.6741,141.3028,81.9,8.37
213,shelburne,97,CA,1614827634,89,44.0787,-80.2041,33.01,7.83
214,teya,100,RU,1614827636,86,60.3778,92.6267,-5.73,5.01
215,ashcroft,90,CA,1614827637,65,50.7165,-121.2859,44.6,3.44
216,wewak,100,PG,1614827638,76,-3.5534,143.6268,82.06,10.98
217,moindou,75,NC,1614827639,74,-21.6924,165.677,80.6,4.61
218,vila franca do campo,75,PT,1614827641,100,37.7167,-25.4333,59.0,14.97
219,leningradskiy,100,RU,1614827642,90,69.3833,178.4167,-10.77,22.03
220,skibbereen,90,IE,1614827643,93,51.55,-9.2667,37.4,6.91
221,puerto baquerizo moreno,60,EC,1614827644,82,-0.9,-89.6,78.96,3.62
222,qurayyat,0,SA,1614827645,87,31.3318,37.3428,44.6,11.5
223,reitz,0,ZA,1614827647,76,-27.8014,28.4273,55.38,4.0
224,bobrovka,79,RU,1614827648,94,54.047,61.7455,13.71,7.96
225,henties bay,0,NA,1614827649,72,-22.116,14.2845,69.73,5.79
226,petropavlovsk-kamchatskiy,75,RU,1614827361,53,53.0452,158.6483,15.8,15.66
227,oktyabrskiy,60,RU,1614827651,95,54.4815,53.471,9.36,8.61
228,vuktyl,98,RU,1614827654,97,63.8567,57.3094,4.78,5.37
229,monywa,0,MM,1614827655,24,22.1167,95.1333,81.36,5.55
230,tasiilaq,90,GL,1614827454,64,65.6145,-37.6368,30.2,13.8
231,umm kaddadah,1,SD,1614827657,25,13.6017,26.6876,64.06,19.95
232,evensk,100,RU,1614827659,83,61.95,159.2333,0.82,10.0
233,puerto concordia,8,CO,1614827660,59,2.6221,-72.7572,77.4,3.44
234,povenets,42,RU,1614827661,96,62.8487,34.8262,11.89,7.36
235,kaeo,22,NZ,1614827662,77,-35.1,173.7833,75.0,8.99
236,taltal,0,CL,1614827663,77,-25.4,-70.4833,65.97,4.63
237,moratuwa,1,LK,1614827665,83,6.773,79.8816,77.0,3.44
238,dikson,36,RU,1614827666,80,73.5069,80.5464,-25.78,12.17
239,esperance,90,AU,1614827402,88,-33.8667,121.9,66.2,13.8
240,oxapampa,100,PE,1614827668,90,-10.5775,-75.4017,59.88,1.92
241,lebu,0,CL,1614827669,85,-37.6167,-73.65,60.85,15.59
242,bira,98,RU,1614827671,91,49.0,132.4667,25.61,1.99
243,berekum,72,GH,1614827672,91,7.4534,-2.584,74.55,5.53
244,okha,86,RU,1614827673,91,53.5739,142.9478,7.83,9.37
245,tarauaca,85,BR,1614827675,97,-8.1614,-70.7656,71.33,1.79
246,tallahassee,1,US,1614827417,93,30.4383,-84.2807,48.99,3.11
247,salalah,0,OM,1614827677,68,17.0151,54.0924,68.0,4.61
248,oktyabrskoye,90,RU,1614827678,91,43.0645,44.7417,24.75,4.32
249,kruisfontein,0,ZA,1614827681,93,-34.0033,24.7314,62.01,3.09
250,zabol,0,AF,1614827682,57,32.25,67.25,45.07,4.79
251,arlit,0,NE,1614827525,18,18.7369,7.3853,71.47,12.01
252,gambela,70,ET,1614827684,40,8.25,34.5833,81.64,3.85
253,corn island,0,NI,1614827685,76,12.1694,-83.0418,79.43,13.76
254,rawson,66,AR,1614827689,91,-43.3002,-65.1023,61.12,10.38
255,gitarama,40,RW,1614827690,94,-2.0744,29.7567,62.6,3.44
256,ust-kuyga,100,RU,1614827418,85,70.0167,135.6,-12.32,10.2
257,elko,1,US,1614827623,34,41.0002,-115.5012,46.4,5.75
258,uglekamensk,30,RU,1614827693,67,43.2172,133.2303,41.68,8.57
259,byron bay,90,AU,1614827695,64,-28.65,153.6167,75.2,12.66
260,shenjiamen,79,CN,1614827696,88,29.9576,122.298,50.16,15.88
261,toora-khem,21,RU,1614827697,91,52.4675,96.11,10.71,1.39
262,coracora,100,PE,1614827698,80,-15.0333,-73.7833,51.17,2.84
263,fairbanks,90,US,1614827535,78,64.8378,-147.7164,1.4,2.77
264,nanortalik,100,GL,1614827701,81,60.1432,-45.2371,36.27,21.45
265,kharabali,0,RU,1614827702,98,47.4196,47.2568,28.0,11.92
266,toluviejo,47,CO,1614827706,64,9.4508,-75.4386,76.57,7.09
267,niquinohomo,20,NI,1614827707,69,11.9052,-86.0945,78.8,6.91
268,muros,100,ES,1614827708,92,42.7762,-9.0603,50.0,1.01
269,jalu,0,LY,1614827710,68,29.0331,21.5482,47.57,6.85
270,caravelas,85,BR,1614827711,87,-17.7125,-39.2481,74.79,4.07
