,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,dingle,73,PH,1614827712,73,10.9995,122.6711,83.52,14.85
272,grand gaube,36,MU,1614827713,83,-20.0064,57.6608,77.0,1.99
273,tarakan,90,ID,1614827714,74,3.3,117.6333,81.21,5.17
274,honiara,99,SB,1614827715,81,-9.4333,159.95,80.65,5.01
275,axim,100,GH,1614827717,90,4.8699,-2.2405,79.59,8.99
276,trelaze,90,FR,1614827718,100,47.45,-0.4667,46.99,3.44
277,smirnykh,98,RU,1614827719,94,49.75,142.8333,33.28,7.81
278,pokhara,0,NP,1614827720,22,28.2333,83.9833,70.18,2.37
279,ridgecrest,1,US,1614827722,37,35.6225,-117.6709,51.8,13.8
280,pedernales,0,DO,1614827724,68,18.0384,-71.744,74.41,4.65
281,qingdao,40,CN,1614827725,66,36.0986,120.3719,51.01,8.95
282,hamilton,1,US,1614827726,53,39.1834,-84.5333,48.2,9.22
283,moron,64,AR,1614827622,87,-34.6534,-58.6198,79.0,4.0
284,vila velha,20,BR,1614827451,94,-20.3297,-40.2925,75.2,2.3
285,springbok,0,ZA,1614827731,59,-29.6643,17.8865,59.9,1.81
286,norman wells,20,CA,1614827732,76,65.282,-126.8329,-20.2,2.3
287,chardara,44,KZ,1614827733,76,41.2547,67.9692,48.56,12.39
288,camacha,20,PT,1614827735,72,33.0833,-16.3333,59.0,10.36
289,lafiagi,61,NG,1614827736,26,8.8667,5.4167,75.11,2.95
290,lata,100,PT,1614827737,88,40.1629,-8.3327,57.0,2.98
291,acari,93,PE,1614827739,68,-15.4311,-74.6158,74.89,3.8
292,vardo,100,NO,1614827740,76,70.3705,31.1107,29.1,18.32
293,pisco,75,PE,1614827741,73,-13.7,-76.2167,75.2,9.22
294,westport,69,US,1614827461,67,41.1415,-73.3579,39.99,6.71
295,portland,0,US,1614827743,73,45.5234,-122.6762,52.0,1.01
296,marawi,0,PH,1614827744,80,7.9986,124.2928,82.0,5.01
297,lufkin,1,US,1614827670,81,31.3382,-94.7291,48.2,3.44
298,dalianwan,0,CN,1614827660,71,39.0286,121.695,46.4,8.95
299,tyret pervaya,56,RU,1614827748,85,53.6703,102.3106,-8.57,3.18
300,torbay,90,CA,1614827749,93,47.6666,-52.7314,24.01,21.85
301,broome,75,US,1614827750,75,42.2506,-75.833,35.01,8.05
302,zhezkazgan,90,KZ,1614827751,93,47.8043,67.7144,21.2,8.95
303,vanavara,3,RU,1614827753,84,60.34,102.2797,-18.8,4.05
304,ust-maya,100,RU,1614827754,85,60.4167,134.5333,-16.96,6.85
305,pecos,1,US,1614827755,21,31.4229,-103.4932,57.2,8.05
306,sabya,20,SA,1614827757,83,17.1495,42.6254,75.2,4.61
307,shitanjing,3,CN,1614827759,19,39.2342,106.3439,44.78,12.57
308,cape coast,7,GH,1614827760,89,5.1053,-1.2466,79.72,12.41
309,umm lajj,0,SA,1614827761,61,25.0213,37.2685,66.36,11.7
310,manadhoo,5,MV,1614827762,67,5.7667,73.3833,81.84,16.75
311,poso,100,ID,1614827763,76,-1.3959,120.7524,79.27,0.89
312,mbour,0,SN,1614827765,56,14.422,-16.9638,69.8,23.02
313,port lincoln,0,AU,1614827766,60,-34.7333,135.8667,67.01,13.38
314,romny,7,UA,1614827767,90,50.751,33.4747,27.75,10.85
315,prince rupert,90,CA,1614827704,87,54.3161,-130.3201,41.0,14.97
316,puerto escondido,1,MX,1614827534,83,15.85,-97.0667,78.8,4.92
317,nemuro,20,JP,1614827771,60,43.3236,145.575,33.8,18.41
318,tucupita,18,VE,1614827772,98,9.0622,-62.051,70.81,2.77
319,manta,75,EC,1614827519,78,-0.95,-80.7333,80.6,2.3
320,kenai,1,US,1614827492,79,60.5544,-151.2583,24.8,3.44
321,alofi,40,NU,1614827556,74,-19.0595,-169.9187,84.2,3.44
322,teguldet,100,RU,1614827777,87,57.3064,88.1667,13.26,11.59
323,opuwo,34,NA,1614827778,58,-18.0607,13.84,64.56,3.65
324,sao sebastiao,100,BR,1614827780,73,-23.76,-45.4097,76.3,2.86
325,dunbar,1,US,1614827781,56,38.3606,-81.7374,42.8,4.61
326,auki,90,SB,1614827782,82,-8.7676,160.7034,81.43,9.91
327,bansi,0,IN,1614827784,27,27.1833,82.9333,69.31,2.8
328,rabo de peixe,75,PT,1614827785,100,37.8,-25.5833,59.0,13.8
329,iwanai,8,JP,1614827786,74,42.9744,140.5089,38.01,7.43
330,sainte-anne-des-monts,84,CA,1614827787,67,49.124,-66.4924,15.8,28.77
331,souillac,75,MU,1614827789,94,-20.5167,57.5167,75.2,2.3
332,cururupu,7,BR,1614827790,95,-1.8283,-44.8683,73.6,2.59
333,twentynine palms,90,US,1614827791,50,34.1356,-116.0542,52.0,8.05
334,tezu,95,IN,1614827792,21,27.9167,96.1667,82.69,1.66
335,igrim,93,RU,1614827793,96,63.1906,64.4162,7.84,5.26
336,havelock,1,US,1614827795,93,34.8791,-76.9013,45.0,3.44
337,imatra,0,FI,1614827796,89,61.1719,28.7524,24.01,3.0
338,zhigansk,100,RU,1614827653,82,66.7697,123.3711,-30.03,10.45
339,karasjok,75,NO,1614827798,80,69.4719,25.5112,23.0,16.11
340,waw,12,SS,1614827799,20,7.7029,27.9953,72.36,6.08
341,sabha,0,LY,1614827801,43,27.0377,14.4283,53.85,17.47
342,erenhot,33,CN,1614827802,50,43.6475,111.9767,34.86,8.5
343,bambanglipuro,100,ID,1614827803,69,-7.95,110.2833,84.29,2.17
344,plerin,52,FR,1614827804,96,48.5425,-2.7798,46.99,1.99
345,niquelandia,100,BR,1614827806,87,-14.4739,-48.4597,69.96,1.63
346,saint-philippe,0,RE,1614827807,65,-21.3585,55.7679,80.6,4.61
347,guanica,0,PR,1614827808,79,17.9716,-66.908,73.99,1.99
348,polovinnoye,100,RU,1614827809,99,54.7914,65.9864,26.4,8.68
349,la orilla,0,MX,1614827810,82,17.9833,-102.2333,71.85,1.28
350,meadow lake,40,US,1614827765,15,34.8014,-106.5436,54.0,9.22
351,mersing,40,MY,1614827813,79,2.4312,103.8405,86.0,8.05
352,vao,99,NC,1614827814,84,-22.6667,167.4833,79.14,7.85
353,ataco,46,CO,1614827815,68,3.5915,-75.3818,73.0,3.4
354,chambar,0,PK,1614827817,18,25.2931,68.812,76.21,8.28
355,coquimbo,90,CL,1614827673,82,-29.9533,-71.3436,62.6,3.44
356,luorong,91,CN,1614827819,76,24.4058,109.6086,59.02,2.75
357,shingu,75,JP,1614827699,44,33.7333,135.9833,60.8,16.11
358,katsuura,75,JP,1614827821,58,35.1333,140.3,55.99,11.5
359,saint george,1,US,1614827704,14,37.1041,-113.5841,61.0,13.8
360,sobolevo,38,RU,1614827824,96,54.4299,31.8996,28.96,11.92
361,brigantine,1,US,1614827825,64,39.4101,-74.3646,42.01,11.7
362,hasaki,75,JP,1614827827,58,35.7333,140.8333,55.99,8.05
363,coihaique,20,CL,1614827828,76,-45.5752,-72.0662,55.4,4.61
364,fairview,90,US,1614827829,42,40.8126,-73.999,46.4,5.3
365,doha,0,QA,1614827830,77,25.2867,51.5333,68.0,9.22
366,hirara,20,JP,1614827831,64,24.8,125.2833,75.2,16.11
367,hovd,0,MN,1614827833,22,48.0056,91.6419,20.21,5.46
368,konevo,100,RU,1614827835,97,62.1215,39.3192,15.08,7.38
369,areosa,20,PT,1614827836,87,41.7178,-8.8571,57.0,4.61
370,port macquarie,75,AU,1614827580,57,-31.4333,152.9167,77.0,6.91
371,bilma,0,NE,1614827840,24,18.6853,12.9164,63.57,8.68
372,nioro,0,GM,1614827842,23,13.35,-15.75,73.9,2.86
373,buluang,1,PH,1614827843,57,13.3068,123.3425,85.86,5.03
374,kapit,98,MY,1614827844,82,2.0167,112.9333,79.61,1.52
375,arcata,1,US,1614827846,93,40.8665,-124.0828,46.0,1.1
376,harper,13,LR,1614827847,89,4.375,-7.7169,78.91,6.53
377,podgornoye,0,RU,1614827848,80,51.735,39.1496,30.2,11.18
378,kiama,2,AU,1614827849,66,-34.6833,150.8667,81.0,10.0
379,minot,1,US,1614827850,87,48.2325,-101.2963,37.4,3.69
380,turbat,0,PK,1614827852,38,26.0023,63.044,72.57,1.21
381,kyrksaeterora,75,NO,1614827853,86,63.2906,9.0891,32.0,10.36
382,shangzhi,70,CN,1614827854,88,45.2167,127.9667,35.15,13.67
383,matamoros,75,MX,1614827857,18,25.5333,-103.25,73.4,3.62
384,sukhobezvodnoye,98,RU,1614827858,98,57.0491,44.8891,26.44,10.47
385,sao gabriel da cachoeira,68,BR,1614827859,98,-0.1303,-67.0892,72.05,1.43
386,shushenskoye,10,RU,1614827860,79,53.325,91.9356,17.6,4.47
387,staryy nadym,99,RU,1614827862,95,65.6118,72.6842,6.96,10.92
388,riyadh,0,SA,1614827802,34,24.6877,46.7219,62.6,8.05
389,college,40,US,1614827865,71,64.8569,-147.8028,1.4,3.44
390,quatre cocos,75,MU,1614827866,94,-20.2078,57.7625,78.01,2.3
391,ugoofaaru,0,MV,1614827867,64,5.6667,73.0,81.95,13.85
392,juneau,75,US,1614827802,80,58.3019,-134.4197,37.0,3.44
393,simao,0,CN,1614827594,25,22.7886,100.9748,73.49,7.81
394,borisoglebskiy,90,RU,1614827871,100,57.2586,39.1508,32.0,13.42
395,kano,30,NG,1614827872,12,12.0001,8.5167,73.65,11.12
396,melong,100,CM,1614827873,86,5.1218,9.9614,67.55,1.01
397,gulu,96,UG,1614827874,45,2.7746,32.299,71.29,2.84
398,hualmay,3,PE,1614827876,82,-11.0964,-77.6139,72.55,7.7
399,iqaluit,90,CA,1614827877,77,63.7506,-68.5145,-4.0,28.77
400,mgandu,100,TZ,1614827878,96,-5.95,34.1333,61.86,1.32
401,baherden,30,TM,1614827880,62,38.4362,57.4316,48.54,15.26
402,christchurch,75,NZ,1614827881,60,-43.5333,172.6333,69.01,6.91
403,tak,10,TH,1614827883,54,16.5833,98.8333,82.4,2.08
404,sitka,90,US,1614827884,81,57.0531,-135.33,39.2,5.75
405,presidente olegario,20,BR,1614827885,100,-18.4178,-46.4181,66.99,2.64
406,albanel,0,CA,1614827887,61,48.8832,-72.4487,5.0,16.11
407,tuatapere,83,NZ,1614827888,53,-46.1333,167.6833,64.0,3.0
408,yuancheng,100,CN,1614827889,49,36.652,107.7896,47.17,9.44
409,stornoway,75,GB,1614827835,81,58.2093,-6.3865,44.6,12.66
410,komsomolskiy,82,UZ,1614827891,87,40.4272,71.7189,39.2,4.61
411,isangel,75,VU,1614827892,74,-19.55,169.2667,87.8,13.8
412,pilar,40,BR,1614827894,88,-9.5972,-35.9567,77.0,6.91
413,svetlogorsk,0,BY,1614827896,98,52.6333,29.7333,31.78,11.21
414,champerico,33,GT,1614827897,96,14.3,-91.9167,68.0,6.29
415,sur,0,OM,1614827899,44,22.5667,59.5289,77.32,2.89
416,areado,43,BR,1614827900,88,-21.3586,-46.1456,63.88,0.92
417,kankon,40,IN,1614827902,100,15.0167,74.0167,77.0,2.3
418,qianjiang,0,CN,1614827903,65,30.4151,112.8859,58.57,8.32
419,rio brilhante,100,BR,1614827904,93,-21.8019,-54.5464,72.39,5.88
420,tucuman,0,AR,1614827906,88,-26.8241,-65.2226,69.8,6.91
421,adrar,98,MR,1614827907,23,20.5022,-10.0711,66.27,8.59
422,monrovia,40,LR,1614827641,94,6.3005,-10.7969,77.0,7.52
423,islamkot,0,PK,1614827910,62,24.6997,70.177,71.56,9.82
424,livadiya,8,RU,1614827913,76,42.8692,132.6764,38.66,9.66
425,yining,1,CN,1614827914,57,29.0361,114.5636,61.84,0.72
426,bani,0,DO,1614827915,77,18.2833,-70.3333,70.41,3.33
427,maicao,9,CO,1614827917,80,11.3832,-72.2432,76.05,10.29
428,lokosovo,96,RU,1614827919,95,61.1333,74.8167,10.08,10.09
429,victor harbor,3,AU,1614827920,54,-35.5667,138.6167,73.99,8.5
430,xichang,14,CN,1614827921,49,27.8964,102.2634,59.4,4.27
431,kondinskoye,99,RU,1614827923,97,59.6481,67.41,17.2,9.06
432,ritchie,0,ZA,1614827804,72,-29.038,24.6028,62.6,8.05
433,lorengau,98,PG,1614827640,72,-2.0226,147.2712,84.42,13.96
434,cotonou,40,BJ,1614827927,84,6.3654,2.4183,84.2,12.66
435,nuristan,32,AF,1614827928,86,35.3,70.8333,18.03,7.92
436,libreville,40,GA,1614827930,89,0.3925,9.4537,82.4,5.75
437,makakilo city,20,US,1614827931,53,21.3469,-158.0858,77.0,9.22
438,woodward,1,US,1614827932,40,36.4337,-99.3904,53.6,10.36
439,jinan,0,CN,1614827877,51,36.6683,116.9972,59.0,3.0
440,brae,90,GB,1614827934,69,60.3964,-1.353,35.6,13.8
441,qeshm,27,IR,1614827935,77,26.9581,56.2719,66.2,3.36
442,maun,0,BW,1614827937,94,-19.9833,23.4167,66.2,3.44
443,verkhoyansk,100,RU,1614827640,78,67.5447,133.385,-26.68,1.63
444,port pirie,0,AU,1614827940,43,-33.1833,138.0167,73.4,12.66
445,abengourou,61,CI,1614827941,97,6.7297,-3.4964,73.06,2.57
446,ola,92,RU,1614827943,84,59.5833,151.2833,-4.04,15.52
447,san cristobal,40,VE,1614827944,73,7.7669,-72.225,77.0,2.3
448,tabas,0,IR,1614827945,41,33.5959,56.9244,53.11,1.36
449,dubbo,0,AU,1614827947,28,-32.25,148.6167,82.4,5.75
450,zeya,100,RU,1614827948,64,53.75,127.2667,2.98,5.97
451,kerema,98,PG,1614827949,61,-7.9631,145.7785,86.2,10.94
452,greensburg,75,US,1614827726,43,40.3015,-79.5389,48.2,11.5
453,beidao,100,CN,1614827951,57,34.5686,105.8933,49.87,5.14
454,castelo do piaui,84,BR,1614827952,91,-5.3222,-41.5525,71.04,1.59
455,utica,100,US,1614827953,68,43.1009,-75.2327,34.0,4.0
456,vung tau,35,VN,1614827954,64,10.346,107.0843,83.21,18.07
457,sijunjung,94,ID,1614827956,66,-0.6876,100.9537,82.63,2.53
458,ixtapa,1,MX,1614827957,83,20.7,-105.2,73.0,1.45
459,voznesenye,100,RU,1614827960,97,61.0106,35.4781,23.05,13.15
460,burnie,75,AU,1614827962,65,-41.0667,145.9167,64.42,16.33
461,san alberto,79,CO,1614827963,51,7.7611,-73.3922,80.91,4.85
462,tecoanapa,82,MX,1614827964,77,16.5167,-98.75,75.02,2.33
463,saint-pierre,0,RE,1614827965,65,-21.3393,55.4781,80.6,4.61
464,plonsk,87,PL,1614827967,100,52.6235,20.3755,37.0,10.36
465,sassandra,56,CI,1614827968,93,4.95,-6.0833,77.77,7.25
466,alanya,0,TR,1614827870,29,36.5438,31.9998,59.0,5.75
467,sistranda,75,NO,1614827971,86,63.7256,8.834,32.0,10.36
468,urumqi,85,CN,1614827888,69,43.801,87.6005,28.4,4.47
469,santa fe,87,AR,1614827881,83,-31.6333,-60.7,73.99,1.99
470,mayumba,100,GA,1614827975,87,-3.432,10.6554,80.51,9.53
471,egvekinot,100,RU,1614827976,93,66.3167,-179.1667,-4.22,10.0
472,ishigaki,75,JP,1614827977,69,24.3448,124.1572,75.2,12.66
473,yuanping,0,CN,1614827978,62,38.7153,112.7575,42.64,1.79
474,ila,75,NO,1614827980,86,63.4305,10.3705,28.4,11.5
475,port-gentil,99,GA,1614827981,81,-0.7193,8.7815,82.04,14.76
476,lompoc,40,US,1614827982,71,34.6391,-120.4579,51.8,3.44
477,havre-saint-pierre,90,CA,1614827983,79,50.2334,-63.5986,14.0,25.32
478,antalaha,24,MG,1614827984,87,-14.9003,50.2788,75.27,3.87
479,anahuac,40,MX,1614827985,35,27.2333,-100.15,69.8,10.42
480,bose,8,IT,1614827987,66,45.4612,8.0137,44.01,1.99
481,vestmanna,21,FO,1614827988,80,62.1564,-7.1664,28.4,6.91
482,chumikan,100,RU,1614827989,83,54.7183,135.315,4.71,3.6
483,beisfjord,20,NO,1614827990,93,68.3751,17.5988,23.0,4.61
484,kandrian,77,PG,1614827991,65,-6.2167,149.55,86.92,18.88
485,turtas,100,RU,1614827993,97,58.9417,69.1325,19.27,8.23
486,kandry,70,RU,1614827994,95,54.5667,54.1167,9.36,9.22
487,izhma,98,RU,1614827995,96,65.0083,53.9113,4.66,4.88
488,dombarovskiy,100,RU,1614827996,97,50.7587,59.5386,22.77,12.71
489,severomuysk,13,RU,1614827998,82,56.1481,113.4267,-25.46,6.02
490,abancay,96,PE,1614827999,70,-13.6339,-72.8814,55.87,1.14
491,los llanos de aridane,0,ES,1614828000,59,28.6585,-17.9182,62.6,10.36
492,kamaishi,20,JP,1614828001,57,39.2667,141.8833,44.6,12.66
493,spisske podhradie,0,SK,1614828002,60,49.0009,20.7531,37.4,11.5
494,kavieng,76,PG,1614828011,73,-2.5744,150.7967,83.66,12.41
495,mayo,1,US,1614828012,70,38.8876,-76.5119,42.01,8.88
496,lydenburg,0,ZA,1614828013,92,-25.0978,30.4597,60.01,2.46
497,flin flon,80,CA,1614828014,98,54.7682,-101.865,21.24,3.49
498,churapcha,100,RU,1614828016,83,62.0025,132.4325,-21.32,7.96
499,ifakara,100,TZ,1614828017,95,-8.1333,36.6833,71.73,1.48
500,duluth,40,US,1614827967,93,46.7833,-92.1066,32.0,8.05
501,oranjemund,1,NA,1614828019,90,-28.55,16.4333,61.68,7.02
502,ulagan,0,RU,1614828020,77,50.6321,87.9563,7.5,2.26
503,dukat,100,RU,1614827768,91,62.55,155.55,-31.65,9.51
504,san patricio,75,US,1614828022,82,28.017,-97.5169,59.0,9.22
505,ust-kalmanka,100,RU,1614828024,92,52.1207,83.305,19.13,8.72
506,sarti,0,GR,1614828026,71,40.1,23.9833,50.02,0.96
507,inuvik,99,CA,1614828027,76,68.3499,-133.7218,-20.2,1.14
508,lima,0,PE,1614827877,83,-12.0432,-77.0282,78.01,6.91
509,caucaia,40,BR,1614828029,83,-3.7361,-38.6531,82.99,10.36
510,jacmel,38,HT,1614828030,74,18.2342,-72.5347,80.6,5.75
511,sandwick,90,GB,1614827836,69,60.0,-1.25,35.6,13.8
512,marystown,99,CA,1614828033,95,47.1666,-55.1483,22.89,22.7
513,zhireken,100,RU,1614828034,86,52.8249,117.3076,-1.5,8.1
514,amga,100,RU,1614828035,83,60.8953,131.9608,-20.16,7.34
515,broken hill,0,AU,1614828036,20,-31.95,141.4333,77.0,12.66
516,uray,91,RU,1614828037,96,60.1247,64.7758,13.37,5.55
517,suzun,100,RU,1614828039,93,53.7841,82.3116,14.02,11.34
518,te anau,45,NZ,1614828040,44,-45.4167,167.7167,58.59,10.11
519,nsanje,91,MW,1614828041,94,-16.92,35.262,72.59,1.7
520,pochutla,57,MX,1614828043,79,15.7432,-96.4661,77.0,4.5
521,kuching,40,MY,1614827986,84,1.55,110.3333,84.2,3.44
522,kabare,100,CD,1614828046,82,-2.4683,28.8242,61.59,1.3
523,nevers,6,FR,1614828049,86,46.9167,3.3333,35.01,2.42
524,nome,1,US,1614828050,71,64.5011,-165.4064,-2.2,8.05
525,mahanje,100,TZ,1614828051,97,-9.9333,35.3333,65.19,1.57
526,sungaipenuh,74,ID,1614828052,65,-2.0833,101.3833,77.31,2.42
527,swan river,72,CA,1614828054,86,52.1058,-101.2676,17.6,6.91
528,aitape,78,PG,1614828055,76,-3.1374,142.3475,82.11,9.84
529,pathein,0,MM,1614827851,25,16.7833,94.7333,88.77,6.91
530,stephenville,1,US,1614828057,47,32.2207,-98.2023,57.2,8.05
531,bontang,99,ID,1614828058,73,0.1333,117.5,82.17,12.44
532,sarlat-la-caneda,18,FR,1614828060,100,44.889,1.2166,43.0,5.75
533,niihama,75,JP,1614828061,58,33.9593,133.3167,59.0,18.41
534,timbiqui,97,CO,1614828062,88,2.7717,-77.6654,75.58,2.06
535,makat,87,KZ,1614828064,92,47.6469,53.3463,26.92,14.45
536,lekoni,100,GA,1614827835,66,-1.5843,14.2591,78.28,2.57
537,kasongo-lunda,100,CD,1614828066,93,-6.4667,16.8167,70.12,1.16
538,sale,40,MA,1614828068,93,34.0389,-6.8166,52.0,3.44
539,butajira,3,ET,1614828069,49,8.1167,38.3667,57.42,6.33
540,jiwani,0,PK,1614828070,75,25.05,61.7417,75.02,11.5
541,taunggyi,23,MM,1614828071,26,20.7833,97.0333,73.08,10.98
542,catuday,0,PH,1614828075,66,16.2923,119.8062,82.47,8.19
543,yenagoa,100,NG,1614828076,92,4.9247,6.2642,78.03,3.11
544,ust-omchug,100,RU,1614828077,80,61.15,149.6333,-18.51,5.75
545,bubaque,0,GW,1614828078,71,11.2833,-15.8333,77.4,7.2
